Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_20L:HTTP Request,10,78,75,90,90,98,63,98,0.000%,10.18330,1.35,2.10
TOTAL,10,78,75,90,90,98,63,98,0.000%,10.18330,1.35,2.10
