Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_3000U_900R_1L_65.99.1_CL:HTTP Request,3000,168,139,217,241,790,100,2469,0.000%,3.33399,0.44,0.69
TOTAL,3000,168,139,217,241,790,100,2469,0.000%,3.33399,0.44,0.69
