Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_1200U_60R_1L_40_CL:HTTP Request,1200,574,551,750,826,1017,306,1192,0.000%,19.85637,2.64,4.09
TOTAL,1200,574,551,750,826,1017,306,1192,0.000%,19.85637,2.64,4.09
