Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_50U_1R_10L_40_CL:HTTP Request,500,8034,8104,9733,9988,10502,3697,11795,0.000%,5.96019,0.79,1.23
TOTAL,500,8034,8104,9733,9988,10502,3697,11795,0.000%,5.96019,0.79,1.23
