Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,400,170,102,1488,148.28,0.000%,6.66400,0.89,1.37,136.0
TOTAL,400,170,102,1488,148.28,0.000%,6.66400,0.89,1.37,136.0
