Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,3000,119,60,1440,83.99,0.000%,3.33381,0.44,0.69,136.0
TOTAL,3000,119,60,1440,83.99,0.000%,3.33381,0.44,0.69,136.0
