Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_8000U_600R_1L_65.99.1_CL:HTTP Request,8000,4839,201,22401,28894,37294,95,87837,0.000%,13.32891,1.77,2.75
TOTAL,8000,4839,201,22401,28894,37294,95,87837,0.000%,13.32891,1.77,2.75
