Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_2000U_600R_1L_65.99.1_CL:HTTP Request,2000,934,886,1143,1235,1402,697,2180,0.000%,3.33113,0.44,0.69
TOTAL,2000,934,886,1143,1235,1402,697,2180,0.000%,3.33113,0.44,0.69
