Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,1208,135,7679,1156.69,0.000%,3.33773,0.44,0.69,136.0
TOTAL,200,1208,135,7679,1156.69,0.000%,3.33773,0.44,0.69,136.0
