Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,200,1208,994,1793,2081,7269,135,7679,0.000%,3.33773,0.44,0.69
TOTAL,200,1208,994,1793,2081,7269,135,7679,0.000%,3.33773,0.44,0.69
