Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_20L:HTTP Request,10,86,84,111,111,117,64,117,0.000%,9.88142,1.31,2.04
TOTAL,10,86,84,111,111,117,64,117,0.000%,9.88142,1.31,2.04
