Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_100U_60R_1L_65.99.1_CL:HTTP Request,100,335,162,379,1224,3624,93,4204,0.000%,1.66389,0.22,0.34
TOTAL,100,335,162,379,1224,3624,93,4204,0.000%,1.66389,0.22,0.34
