Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_9000U_600R_1L_65.99.1_CL:HTTP Request,9000,248,192,413,510,1217,105,2792,0.000%,14.92055,1.98,3.07
TOTAL,9000,248,192,413,510,1217,105,2792,0.000%,14.92055,1.98,3.07
