Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
basic_test_pdf_converter_9000U_600R_1L_65.99.1_CL:HTTP Request,9000,1254,114,14968,1357.53,0.000%,14.92347,1.98,3.08,136.0
TOTAL,9000,1254,114,14968,1357.53,0.000%,14.92347,1.98,3.08,136.0
