Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,143,116,376,38.68,0.000%,5.00551,0.66,1.03,136.0
TOTAL,300,143,116,376,38.68,0.000%,5.00551,0.66,1.03,136.0
