Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_200U_60R_1L_195_CL:HTTP Request,200,1017,992,1161,1251,1747,561,1784,0.000%,3.30546,0.44,0.68
TOTAL,200,1017,992,1161,1251,1747,561,1784,0.000%,3.30546,0.44,0.68
