Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_1200U_60R_1L_20_CL:HTTP Request,1200,3097,2933,4712,5270,6133,321,7501,0.000%,19.77979,2.63,4.08
TOTAL,1200,3097,2933,4712,5270,6133,321,7501,0.000%,19.77979,2.63,4.08
