Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_100U_60R_1L_65.99.1_CL:HTTP Request,100,184,170,270,293,371,82,597,0.000%,1.67980,0.22,0.35
TOTAL,100,184,170,270,293,371,82,597,0.000%,1.67980,0.22,0.35
