Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,164,130,181,254,1078,111,1214,0.000%,6.66911,0.89,1.37
TOTAL,400,164,130,181,254,1078,111,1214,0.000%,6.66911,0.89,1.37
