Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_12000U_3600R_1L_65.99.1_CL:HTTP Request,12000,185,150,249,296,842,65,4827,0.000%,3.33350,0.44,0.69
TOTAL,12000,185,150,249,296,842,65,4827,0.000%,3.33350,0.44,0.69
