Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_300U_60R_1L_195_CL:HTTP Request,300,1708,1727,2155,2306,2595,660,2697,0.000%,4.88599,0.65,1.01
TOTAL,300,1708,1727,2155,2306,2595,660,2697,0.000%,4.88599,0.65,1.01
