Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_4500U_900R_1L_40_CL:HTTP Request,4500,258,180,363,735,1450,142,2405,0.000%,5.00024,0.66,1.03
TOTAL,4500,258,180,363,735,1450,142,2405,0.000%,5.00024,0.66,1.03
