Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1200,790,155,5636,620.27,0.000%,19.65151,2.61,4.05,136.0
TOTAL,1200,790,155,5636,620.27,0.000%,19.65151,2.61,4.05,136.0
