Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1300,454,135,3196,289.71,0.000%,21.49435,2.85,4.43,136.0
TOTAL,1300,454,135,3196,289.71,0.000%,21.49435,2.85,4.43,136.0
