Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,300,88290,113587,143976,147686,152484,98,157081,0.000%,1.55451,0.21,0.32
TOTAL,300,88290,113587,143976,147686,152484,98,157081,0.000%,1.55451,0.21,0.32
