Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_8000U_600R_1L_40_CL:HTTP Request,8000,486,328,608,1140,4463,185,10693,0.000%,13.32920,1.77,2.75
TOTAL,8000,486,328,608,1140,4463,185,10693,0.000%,13.32920,1.77,2.75
