Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_2000U_10R_1L_65.99.1_CL:HTTP Request,2000,47600,46272,82315,84588,85271,7245,89793,0.000%,20.88642,2.77,4.30
TOTAL,2000,47600,46272,82315,84588,85271,7245,89793,0.000%,20.88642,2.77,4.30
