Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_40L:HTTP Request,10,615,691,802,802,812,194,812,0.000%,6.22665,0.83,1.28
TOTAL,10,615,691,802,802,812,194,812,0.000%,6.22665,0.83,1.28
