Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,615,194,812,212.01,0.000%,6.22665,0.83,1.28,136.0
TOTAL,10,615,194,812,212.01,0.000%,6.22665,0.83,1.28,136.0
