Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
basic_test_pdf_converter_6000U_600R_1L_40_CL:HTTP Request,6000,205,155,731,40.22,0.000%,9.99798,1.33,2.06,136.0
TOTAL,6000,205,155,731,40.22,0.000%,9.99798,1.33,2.06,136.0
