Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_20L:HTTP Request,10,69,67,81,81,84,62,84,0.000%,10.34126,1.37,2.13
TOTAL,10,69,67,81,81,84,62,84,0.000%,10.34126,1.37,2.13
