Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,50,851,852,894,909,929,782,929,0.000%,.83866,0.11,0.17
TOTAL,50,851,852,894,909,929,782,929,0.000%,.83866,0.11,0.17
