Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_195_CL:HTTP Request,10,248,232,276,276,289,213,289,0.000%,8.83392,1.17,1.82
TOTAL,10,248,232,276,276,289,213,289,0.000%,8.83392,1.17,1.82
