Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,50,9373,7837,10033,496.72,0.000%,4.73171,0.63,0.97,136.0
TOTAL,50,9373,7837,10033,496.72,0.000%,4.73171,0.63,0.97,136.0
