Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_40L:HTTP Request,10,154,137,221,221,226,111,226,0.000%,9.67118,1.28,1.99
TOTAL,10,154,137,221,221,226,111,226,0.000%,9.67118,1.28,1.99
