Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
basic_test_pdf_converter_8000U_600R_1L_20_CL:HTTP Request,8000,162,71,2021,103.94,0.000%,13.33256,1.77,2.75,136.0
TOTAL,8000,162,71,2021,103.94,0.000%,13.33256,1.77,2.75,136.0
