Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_8000U_600R_1L_40_CL:HTTP Request,8000,1164,493,3434,4530,6844,213,9621,0.000%,13.30212,1.77,2.74
TOTAL,8000,1164,493,3434,4530,6844,213,9621,0.000%,13.30212,1.77,2.74
