Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_20L:HTTP Request,10,170,166,207,207,242,135,242,0.000%,9.61538,1.28,1.98
TOTAL,10,170,166,207,207,242,135,242,0.000%,9.61538,1.28,1.98
