Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
basic_test_pdf_converter_6000U_600R_1L_195_CL:HTTP Request,6000,245839,1795,461202,127421.28,0.167%,5.74627,0.76,1.18,136.2
TOTAL,6000,245839,1795,461202,127421.28,0.167%,5.74627,0.76,1.18,136.2
