Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_500U_60R_1L_40_CL:HTTP Request,500,251,219,315,360,1045,160,1467,0.000%,8.32723,1.11,1.72
TOTAL,500,251,219,315,360,1045,160,1467,0.000%,8.32723,1.11,1.72
