Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,132,119,145,9.77,0.000%,9.80392,1.30,2.02,136.0
TOTAL,10,132,119,145,9.77,0.000%,9.80392,1.30,2.02,136.0
