Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_1600U_60R_1L_65.99.1_CL:HTTP Request,1600,3610,3393,5757,6415,8296,185,14540,0.000%,25.49110,3.39,5.25
TOTAL,1600,3610,3393,5757,6415,8296,185,14540,0.000%,25.49110,3.39,5.25
