Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_1U_1R_1L_20_CL:HTTP Request,1,134,134,134,134,134,134,134,0.000%,7.46269,0.99,1.54
TOTAL,1,134,134,134,134,134,134,134,0.000%,7.46269,0.99,1.54
