Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_10U_1R_1L_40L:HTTP Request,10,597,555,737,737,749,472,749,0.000%,7.17875,0.95,1.48
TOTAL,10,597,555,737,737,749,472,749,0.000%,7.17875,0.95,1.48
